qlet	Birt`h order (within pregnancy)
tb7530	L4a: Degree to which child often makes careless mistakes/fails to pay attention in past 6 months relative to peers
tb7531	L4b: Degree to which child often seems to loose interest in what their doing in past 6 months relative to peers
tb7532	L4c: Degree to which child often not listening to what people saying to them in past 6 months relative to peers
tb7533	L4d: Degree to which child often not finish a job properly in past 6 months relative to peers
tb7534	L4e: Degree to which often hard for child to get organised to do something in past 6 months relative to peers
tb7535	L4f: Degree to which child often try's to get out of things they would have to think about such as homework in past 6 months relative to peers
tb7536	L4g: Degree to which child often looses things needed for school/PE in past 6 months relative to peers
tb7537	L4h: Degree to which child easily distracted in past 6 months relative to peers
tb7538	L4i: Degree to which child often forgetful in past 6 months relative to peers
tb7540	L5a: Degree to which teachers complained of child's fidgetiness/restlessness/overactivity in last 6 months
tb7541	L5b: Degree to which teachers complained of child's poor concentration/easily being distracted in last 6 months
tb7542	L5c: Degree to which teachers complained of child acting without thinking about what doing/frequently butting in/not waiting turn in last 6 months
tb7550	L6: Problem's of attention/activity been there for much of child's life
tb7560	L7: Age child's problem's of attention/activity started
tb7570	L8: Degree to which difficulties with activity/attention upset/distressed child
tb7580	L9a: Degree to which difficulties interfered how well child gets on with respondent/rest of family in day-to-day life
tb7581	L9b: Degree to which difficulties interfered child making/keeping friends in day-to-day life
tb7582	L9c: Degree to which difficulties interfered child learning/school work in day-to-day life
tb7583	L9d: Degree to which difficulties interfered child playing hobbies/sports/other leisure activities in day-to-day life
tb7590	L10: Degree to which problems with activity/attention have put burden on respondent/whole family
tb8000	M1: Overall degree to which child's awkward & troublesome behaviour compares in past 6 months relative to peers
tb8010	M2a: Degree to which child had severe temper tantrums in past 6 months relative to peers
tb8011	M2b: Degree to which child argued with grown-ups in past 6 months relative to peers
tb8012	M2c: Degree to which child taken no notice of rules/refused to do as told in past 6 months relative to peers
tb8013	M2d: Degree to which child seemed to do things to annoy people on purpose in past 6 months relative to peers
tb8014	M2e: Degree to which child blamed others for own mistakes/bad behaviour in past 6 months relative to peers
tb8015	M2f: Degree to which child been touchy/easily annoyed in past 6 months relative to peers
tb8016	M2g: Degree to which child been angry/resentful in past 6 months relative to peers
tb8017	M2h: Degree to which child been spiteful in past 6 months relative to peers
tb8018	M2i: Degree to which child tried to get their own back on people in past 6 months relative to peers
tb8020	M3: Child's awkward behaviour with one person (e.g. teacher/brother) or more than one
tb8030	M4: Child's awkward behaviour been there for much of their life
tb8040	M5: Age child's awkward behaviour started
tb8050	M6a: Degree to which awkward/troublesome behaviour interfered how well child gets on with respondent/rest of family in day-to-day life
tb8051	M6b: Degree to which awkward/troublesome behaviour interfered with child making/keeping friends in day-to-day life
tb8052	M6c: Degree to which awkward/troublesome behaviour interfered with child learning/school work in day-to-day life
tb8053	M6d: Degree to which awkward/troublesome behaviour interfered with child playing hobbies/sports/other leisure activities in day-to-day life
tb8060	M7: Degree to which problems put burden on respondent/whole family
tb8070	M8: Degree to which teachers complained of child's awkward behaviour/disruptiveness in class over last 6 months
tb8080	M9a: Child told lies to get things/favours from others/to get out of things supposed to do over past 12 months
tb8081	M9a1: Child told lies to get things/favours from others/to get out of things supposed to do for last 6 months
tb8082	M9b: Child often started fights other than brother's & sisters over past 12 months
tb8083	M9b1: Child started fights other than brother's & sisters for last 6 months
tb8084	M9c: Child bullied/threatened people over past 12 months
tb8085	M9c1: Child bullied/threatened people for last 6 months
tb8086	M9d: Child stayed out much later than supposed to over past 12 months
tb8087	M9d1: Child stayed out much later than supposed to for last 6 months
tb8088	M9e: Child has stolen things from house/other people's houses/shops/school over past 12 months
tb8089	M9e1: Child has stolen things from house/other people's houses/shops/school in last 6 months
tb8090	M9f: Child has run away form home/ever stayed away all night without respondents permission over past 12 months
tb8091	M9f1: Child has run away form home/ever stayed away all night without respondents permission in last 6 months
tb8092	M9g: Child often played truant (bunked off) from school over past 12 months
tb8093	M9g1: Child played truant from school in last 6 months
tb8100	M10: Child shown other worrying behaviour in last 12 months (e.g. deliberately started fire/vandalism/deliberately cruel to another person/animals/birds)
tb8500	O1a: Respondent seriously worried about child's speech development in first years of life
tb8501	O1a1: Speech development problems cleared completely
tb8502	O1b: Respondent seriously worried about how child got on with other people in first years of life
tb8503	O1b1: Problems with how child got on with other people cleared completely
tb8504	O1c: Respondent seriously worried about any odd rituals/unusual habits that were very hard to interrupt in first years of life
tb8505	O1c1: Problems with child's odd rituals/unusual habits cleared completely
tb8510	O2: Child has tics/twitches that can't seem to control nowadays
tb8520	O3a: Frequency child not aware of other people's feelings over last 6 months
tb8521	O3b: Frequency child doesn't realise when others upset/angry over last 6 months
tb8522	O3c: Frequency child doesn't notice effect of their behaviour on other family members over last 6 months
tb8523	O3d: Frequency child's behaviour often disrupts normal family life over last 6 months
tb8524	O3e: Frequency child is very demanding of other people's time over last 6 months
tb8525	O3f: Frequency child is difficult to reason with when upset over last 6 months
tb8526	O3g: Frequency child doesn't seem to understand social skills e.g. interrupts conversations constantly over last 6 months
tb8527	O3h: Frequency child doesn't pick up on body language over last 6 months
tb8528	O3i: Frequency child doesn't understand how they should behave when out e.g. shops/other people's houses over last 6 months
tb8529	O3j: Frequency child doesn't realise they offend other people with their behaviour over last 6 months
tb8530	O3k: Frequency child doesn't respond when told to do something over last 6 months
tb8531	O3l: Frequency child cannot follow a command unless carefully worded over last 6 months
tb8532	O3m: Respondent has any other comments/concerns (tick & describe)
tb9090	P1a: Degree to which respondent feels school keeps them informed about child's school work
tb9091	P1b: Degree to which respondent feels school keeps them informed about child's behaviour
tb9092	P1c: Degree to which respondent feels school keeps them informed about other aspects (tick & describe)
tb9100	P2a: Frequency child looks forward to going to school
tb9101	P2b: Frequency child enjoys school
tb9102	P2c: Frequency child stimulated by school
tb9103	P2d: Frequency child frightened by school
tb9104	P2e: Frequency child talks about school friends
tb9105	P2f: Frequency child is bored by school
tb9106	P2g: Frequency child likes teachers
tb9980	R1a: Questionnaire completed by child's biological mother
tb9981	R1b: Questionnaire completed by child's mother figure
tb9982	R1c: Questionnaire completed by child's biological father
tb9983	R1d: Questionnaire completed by child's father figure
tb9984	R1e: Questionnaire completed by study child
tb9985	R1f: Questionnaire completed by someone else
tb9987	DV: Number of contributors to questionnaire
tb9988	DV: Questionnaire completed by...
tb9990a	R2: Date of completion of questionnaire - month
tb9990b	R2: Date of completion of questionnaire - year
tb9990c	DV: Date of completion replaced with date of receipt
tb9991a	DV: Age of study child at completion (months)
tb9991b	DV: Age of study child at completion (weeks)
tc0007	Questionnaire completed (as of 05/03/10)
tc0007a	Data available (as of 05/03/10)
tc0008	Questionnaire version
tc1110	A11: Frequency that study teenager gets into a real rage
tc2004	B1e: Study teenager has been offered other illicit drugs
tc2010	B2a: Study teenager has tried alcohol
tc2011	B2b: Study teenager has tried cigarettes
tc2012	B2c: Study teenager has tried cannabis
tc2013	B2d: Study teenager has tried ecstasy
tc2014	B2e: Study teenager has tried other illicit drugs
tc2020	B3a: Age at which study teenager tried alcohol
tc2021	B3b: Age at which study teenager tried cigarettes
tc2022	B3c: Age at which study teenager tried cannabis
tc2023	B3d: Age at which study teenager tried ecstasy
tc2024	B3e: Age at which study teenager tried other illicit drugs
tc4000	D1: In the past 6 months, study teenager has been considerate of other people's feelings
tc4001	D2: In the past 6 months, study teenager has been restless, overactive, cannot stay still for long
tc4002	D3: In the past 6 months, study teenager has often complained of headaches, stomach aches or sickness
tc4003	D4: In the past 6 months, study teenager has shared readily with other children and teenagers
tc4004	D5: In the past 6 months, study teenager has often had temper tantrums or hot tempers
tc4005	D6: In the past 6 months, study teenager is rather solitary, tends to be alone
tc4006	D7: In the past 6 months, study teenager is generally obedient, usually does what adults request
tc4007	D8: In the past 6 months, study teenager has many worries, often seems worried
tc4008	D9: In the past 6 months, study teenager is helpful if someone is hurt, upset or feeling ill
tc4009	D10: In the past 6 months, study teenager is constantly fidgeting or squirming
tc4010	D11: In the past 6 months, study teenager has at least one good friend
tc4011	D12: In the past 6 months, study teenager often fights or bullies other children or teenagers
tc4012	D13: In the past 6 months, study teenager is often unhappy, down-hearted or tearful
tc4013	D14: In the past 6 months, study teenager is generally liked by others
tc4014	D15: In the past 6 months, study teenager is easily distracted, concentration wanders
tc4015	D16: In the past 6 months, study teenager is nervous or clingy in new situations, easily loses confidence
tc4016	D17: In the past 6 months, study teenager is kind to younger children
tc4017	D18: In the past 6 months, study teenager often lies or cheats
tc4018	D19: In the past 6 months, study teenager is picked on or bullied by other teenagers
tc4019	D20: In the past 6 months, study teenager often volunteers to help others (parents, teachers, other teenagers)
tc4020	D21: In the past 6 months, study teenager thinks things out before acting
tc4021	D22: In the past 6 months, study teenager steals from home, school or elsewhere
tc4022	D23: In the past 6 months, study teenager gets on better with adults than with other teenagers
tc4023	D24: In the past 6 months, study teenager has many fears, is easily scared
tc4024	D25: In the past 6 months, study teenager sees tasks through to the end has good attention span
tc4030	D26: In the past 2 weeks, study teenager has felt miserable or unhappy
tc4031	D27: In the past 2 weeks, study teenager didn't enjoy anything at all
tc4032	D28: In the past 2 weeks, study teenager felt so tired that they just sat around and did nothing
tc4033	D29: In the past 2 weeks, study teenager was very restless
tc4034	D30: In the past 2 weeks, study teenager felt they were no good anymore
tc4035	D31: In the past 2 weeks, study teenager cried a lot
tc4036	D32: In the past 2 weeks, study teenager found it hard to think properly or concentrate
tc4037	D33: In the past 2 weeks, study teenager hated themselves
tc4038	D34: In the past 2 weeks, study teenager felt they were a bad person
tc4039	D35: In the past 2 weeks, study teenager felt lonely
tc4040	D36: In the past 2 weeks, study teenager thought nobody really loved them
tc4041	D37: In the past 2 weeks, study teenager thought they could never be as good as others
tc4042	D38: In the past 2 weeks, study teenager felt they did everything wrong
tc4050	D39a: Over the last 6 months, study teenager was not aware of other people's feelings
tc4051	D39b: Over the last 6 months, study teenager did not realise when others are upset or angry
tc4052	D39c: Over the last 6 months, study teenager did not notice the effect their behaviour has on other members of the family
tc4053	D39d: Over the last 6 months, study teenager's behaviour often disrupts normal family life
tc4054	D39e: Over the last 6 months, study teenager has been very demanding of other people's time
tc4055	D39f: Over the last 6 months, study teenager has been difficult to reason with when upset
tc4056	D39g: Over the last 6 months, study teenager did not seem to understand social skills, e.g. interrupts conversations constantly
tc4057	D39h: Over the last 6 months, study teenager did not pick up on body language
tc4058	D39i: Over the last 6 months, study teenager did not understand how they should behave when they are out, e.g. in shops or other people's houses
tc4059	D39j: Over the last 6 months, study teenager did not realise that they offend people with their behaviour
tc4060	D39k: Over the last 6 months, study teenager did not respond when told to do something
tc4061	D39l: Over the last 6 months, study teenager could not follow a command unless it was carefully worded
tc4062	D39m: Respondent has further comment or concerns about study teenager's behaviour in the past 6 months
tc4070	D40a: Study teenager has hurt themselves on purpose in any way that respondent is aware of (e.g. by taking an overdose of pills, or by cutting themselves)
tc4071	D40b: Number of times that study teenager has hurt themselves on purpose in the last year
tc4072	D40c: Study teenager last hurt themself on purpose in any way that respondent was aware of
tc4080	D40d1: The last time the study teenager hurt themself on purpose they swallowed pills or something poisonous
tc4081	D40d2: The last time the study teenager hurt themself on purpose they cut themself
tc4082	D40d3: The last time the study teenager hurt themself on purpose they burnt themself e.g. with a cigarette
tc4083	D40d4: The last time the study teenager hurt themself on purpose they did something else
tc4090	D40e1: The last time the study teenager hurt themself on purpose they or the respondent on their behalf sought medical help/first aid from a GP (family doctor)
tc4091	D40e2: The last time the study teenager hurt themself on purpose they or the respondent on their behalf sought medical help/first aid from a hospital casualty/emergency department
tc4092	D40e3: The last time the study teenager hurt themself on purpose they or the respondent on their behalf sought medical help/first aid from another health professional
tc4100	D41a: Respondent has ever tried to get help from someone or somewhere about their study teenager hurting themselves on purpose
tc4101	D41b1: Respondent has been to a family member for help
tc4102	D41b2: Respondent has been to a friend for help
tc4103	D41b3: Respondent has been to a staff member in her school/college/work for help
tc4104	D41b4: Respondent has been to a GP (family doctor) for help
tc4105	D41b5: Respondent has been to social services for help
tc4106	D41b6: Respondent has been to a telephone help line for help
tc4108	D41b7: Respondent has been to somewhere else (e.g. internet, book, magazine, other person etc) for help
tc5000	E1a: Current height (cm)
tc5001	E1b: Current weight (kg)
tc5002	E1c: Lowest weight in the last 12 months (kg)
tc5003	E1d: Highest weight in the last 12 months (kg)
tc9980	J1a: Questionnaire completed by teenager's biological mother
tc9981	J1b: Questionnaire completed by teenager's mother figure
tc9982	J1c: Questionnaire completed by teenager's biological father
tc9983	J1d: Questionnaire completed by teenager's father figure
tc9984	J1e: Questionnaire completed by study teenager
tc9985	J1f: Questionnaire completed by someone else
tc9987	DV: Number of contributors to questionnaire
tc9988	DV: Questionnaire completed by...
tc9990a	J2: Date of completion of questionnaire - month
tc9990b	J2: Date of completion of questionnaire - year
tc9990c	DV: Date of completion replaced with date of receipt
tc9991a	DV: Age of study teenager at completion (months)
tc9991b	DV: Age of study teenager at completion (weeks)
wt_0wks	Weight at 0 weeks (kg)
DEL_B4003	F1dap1: Apgar at 1 minute
DEL_B4004	F1dap5: Apgar at 5 minutes
DEL_B3002	E3b: Any abnormalities of placenta or umbilical cord noted
DEL_B4000	F1a: Baby cried immediately after birth
DEL_B4001	F1b: Amount of time before baby took first breath
DEL_B4002	F1cmin: Amount of time until regular respirations established: minutes
DEL_B4005	F1e: Baby was resuscitated
DEL_B4015	F1g: Drugs given at delivery
DEL_B4540	F12: Age at discharge (days)
DEL_B4600	F14: Baby readmitted since discharge up to 6 wk postnatal check
DEL_B4601	F14_days: Age at readmission (days)
DEL_B4650	F15: Problems in data collection
kz012	Outcome C-perinatal death(i) FD >27wks
kz013	Outcome D-perinatal death(ii) FD >19wks
kz014	Outcome E - neonatal death.
kz015	Outcome F - infant death.
kz016	Wigglesworth classification
kz017	Death with congenital defect
kz018	Fetal outcome (deaths <28 wks)
kz030a	Birthweight provenance
kz030b	Birthweight from obst data
kz030c	Birthweight from ALSPAC measurers
kz030d	Birthweight (from notifications or clinical records).
y3sch	Child's unique school identifier (ALSPSCID) at Year 3 data collection
y3year	Academic year in which Year 3 data was collected
y3class	Child's class identifier (within school & year)
sabc003	Education region
sabc003a	Education region (summary)
sabc004	Type of school
sabc006	Child is in correct school year
sa001	Questionnaire version
sa031	A4b1: Child has learning difficulties
sa031a	DV: Child has ever had learning difficulties
sa032	A4b2: Child has specific learning difficulties
sa032a	DV: Child has ever had specific learning difficulties
sa033	A4b3: Child has emotional & behavioural difficulties
sa033a	DV: Child has ever had emotional & behavioural difficulties
sa034	A4b4: Child has speech & language difficulties
sa034a	DV: Child has ever had speech & language difficulties
sa035	A4b5: Child has sensory impairment (hearing)
sa035a	DV: Child has ever had sensory impairment (hearing)
sa036	A4b6: Child has sensory impairment (visual)
sa036a	DV: Child has ever had sensory impairment (visual)
sa037	A4b7: Child has physical disabilities
sa037a	DV: Child has ever had physical disabilities
sa038	A4b8: Child has medical conditions
sa038a	DV: Child has ever had medical conditions
sa039	A4b9: Child has developmental delay
sa039a	DV: Child has ever had developmental delay
sa040	A4b10: Child has other SEN problem
sa040a	DV: Child has ever had other SEN problem
sa042a	DV: 
sa042b	DV: Any current educational problems
sa042c	DV: 
sa043a	DV: 
sa043b	DV: Any past or current educational problems
sa043c	DV: 
sa045	A4c: Child's special educational needs statement status
sa045a	DV: Child is statemented
sa045b	DV: Child has ever been considered for statementing
sa047	A4d1: Child is non-SEN child or SEN child currently taught within school provision
sa048	A4d2: Child is currently attending special school
sa049	A4d3: Child is currently going to special classes
sa050	A4d4: Child currently has a special teacher
sa051	A4d5: Child is SEN child currently attending hospital school
sa052	A4d6: Child is SEN child currently educated at home
sa053	A4d7: Child is SEN child currently excluded from school
sa054	A4d8: Child is SEN child with other current educational arrangement
sa060	A5i: Child's stream for Mathematics
sa061	A5ii: Child's stream for Literacy/English
sa062	A6: Frequency child does required homework
sa065	B1: Length of time child sticks to enjoyable tasks
sa066	B2a: Degree to which child made careless mistakes in past school year
sa066a	DV: Child made careless mistakes in past school year
sa067	B2b: Degree to which child failed to pay attention in past school year
sa067a	DV: Child failed to pay attention in past school year
sa068	B2c: Degree to which child quickly lost interest in activities in past school year
sa068a	DV: Child quickly lost interest in activities in past school year
sa069	B2d: Degree to which child did not seem to listen in past school year
sa069a	DV: Child did not seem to listen in past school year
sa070	B2e: Degree to which child failed to finish things in past school year
sa070a	DV: Child failed to finish things in past school year
sa071	B2f: Degree to which child was disorganised in past school year
sa071a	DV: Child was disorganised in past school year
sa072	B2g: Degree to which child tried to avoid tasks requiring thought in past school year
sa072a	DV: Child tried to avoid tasks requiring thought in past school year
sa073	B2h: Degree to which child lost things in past school year
sa073a	DV: Child lost things in past school year
sa074	B2i: Degree to which child was easily distracted in past school year
sa074a	DV: Child was easily distracted in past school year
sa075	B2j: Degree to which child was forgetful in past school year
sa075a	DV: Child was forgetful in past school year
sa076	B2k: Degree to which child fidgeted in past school year
sa076a	DV: Child fidgeted in past school year
sa077	B2l: Degree to which child couldn't stay sitting when required to in past school year
sa077a	DV: Child couldn't stay sitting when required to in past school year
sa078	B2m: Degree to which child ran or climbed about illicitly in past school year
sa078a	DV: Child ran or climbed about illicitly in past school year
sa079	B2n: Degree to which child had difficulty playing quietly in past school year
sa079a	DV: Child had difficulty playing quietly in past school year
sa080	B2o: Degree to which child found it hard to calm down in past school year
sa080a	DV: Child found it hard to calm down in past school year
sa081	B2p: Degree to which child interrupted / blurted out answers in past school year
sa081a	DV: Child interrupted / blurted out answers in past school year
sa082	B2q: Degree to which child found it hard to wait own turn in past school year
sa082a	DV: Child found it hard to wait own turn in past school year
sa083	B2r: Degree to which child interrupted / butted in on others in past school year
sa083a	DV: Child interrupted / butted in on others in past school year
sa084	B2s: Degree to which child went on talking when asked to stop in past school year
sa084a	DV: Child went on talking when asked to stop in past school year
sa085a	DV: 
sa085b	DV: Any activity symptoms
sa085c	DV: 
sa086a	DV: 
sa086b	DV: Any severe activity symptoms
sa086c	DV: 
sa087a	DV: Activity symptoms score (complete cases)
sa087b	DV: Activity symptoms score (prorated)
sa087c	DV: 
sa088a	DV: 
sa088b	DV: Any attention symptoms
sa088c	DV: 
sa089a	DV: 
sa089b	DV: Any severe attention symptoms
sa089c	DV: 
sa090a	DV: Attention symptoms score (complete cases)
sa090b	DV: Attention symptoms score (prorated)
sa090c	DV: 
sa091a	DV: Total 
sa091b	DV: Any attention/activity symptoms
sa091c	DV: 
sa092a	DV: Total 
sa092b	DV: Any severe attention/activity symptoms
sa092c	DV: 
sa093a	DV: Attention/activity symptoms score (complete cases)
sa093b	DV: Attention/activity symptoms score (prorated)
sa093c	DV: 
sa094	B3a: Degree to which child's attention/activity problems upset child
sa095	B3b: Degree to which child's attention/activity problems interfere with peer relationships
sa096	B3c: Degree to which child's attention/activity problems interfere with own learning
sa097	B3d: Degree to which child's attention/activity problems burden the teacher/class
sa098a	DV: Burden of attention/activity problems score
sa098b	DV: Any burden of attention/activity problems
sa098c	DV: 
sa100	C1a: Degree to which child had temper tantrums in past school year
sa100a	DV: Child had temper tantrums in past school year
sa101	C1b: Degree to which child argued a lot with adults in past school year
sa101a	DV: Child argued a lot with adults in past school year
sa102	C1c: Degree to which child was disobedient at school in past school year
sa102a	DV: Child was disobedient at school in past school year
sa103	C1d: Degree to which child deliberately annoyed people in past school year
sa103a	DV: Child deliberately annoyed people in past school year
sa104	C1e: Degree to which child blamed others for own mistakes in past school year
sa104a	DV: Child blamed others for own mistakes in past school year
sa105	C1f: Degree to which child was easily annoyed by others in past school year
sa105a	DV: Child was easily annoyed by others in past school year
sa106	C1g: Degree to which child was angry & resentful in past school year
sa106a	DV: Child was angry & resentful in past school year
sa107	C1h: Degree to which child was spiteful in past school year
sa107a	DV: Child was spiteful in past school year
sa108	C1i: Degree to which child tried to get revenge in past school year
sa108a	DV: Child tried to get revenge in past school year
sa109	C1j: Degree to which child lied/cheated in past school year
sa109a	DV: Child lied/cheated in past school year
sa110	C1k: Degree to which child started fights in past school year
sa110a	DV: Child started fights in past school year
sa111	C1l: Degree to which child bullied others in past school year
sa111a	DV: Child bullied others in past school year
sa112	C1m: Degree to which child played truant in past school year
sa112a	DV: Child played truant in past school year
sa113	C1n: Degree to which child used weapons when fighting in past school year
sa113a	DV: Child used weapons when fighting in past school year
sa114	C1o: Degree to which child was physically cruel in past school year
sa114a	DV: Child was physically cruel in past school year
sa115	C1p: Degree to which child was deliberately cruel to animals in past school year
sa115a	DV: Child was deliberately cruel to animals in past school year
sa116	C1q: Degree to which child set fire deliberately in past school year
sa116a	DV: Child set fire deliberately in past school year
sa117	C1r: Degree to which child stole things in past school year
sa117a	DV: Child stole things in past school year
sa118	C1s: Degree to which child vandalised property in past school year
sa118a	DV: Child vandalised property in past school year
sa119	C1t: Degree to which child showed unwanted sexual behaviour in past school year
sa119a	DV: Child showed unwanted sexual behaviour in past school year
sa120	C1u: Degree to which child was in trouble with the law in past school year
sa120a	DV: Child was in trouble with the law in past school year
sa130	C2a: Degree to which child's awkward/troublesome behaviour problems upset child
sa131	C2b: Degree to which child's awkward/troublesome behaviour problems interfere with peer relationships
sa132	C2c: Degree to which child's awkward/troublesome behaviour problems interfere with own learning
sa133	C2d: Degree to which child's awkward/troublesome behaviour problems burden the teacher/class
sa140	D1: Degree to which child was considerate of other people's feelings in past 6 months
sa141	D2: Degree to which child was restless/overactive in past 6 months
sa142	D3: Degree to which child often complained of headaches/sickness in past 6 months
sa143	D4: Degree to which child shared readily with other children in past 6 months
sa144	D5: Degree to which child was rather solitary in past 6 months
sa145	D6: Degree to which child was generally obedient in past 6 months
sa146	D7: Degree to which child had many worries in past 6 months
sa147	D8: Degree to which child was helpful if someone was hurt/upset/ill in past 6 months
sa148	D9: Degree to which child constantly fidgeted in past 6 months
sa149	D10: Degree to which child had at least 1 good friend in past 6 months
sa150	D11: Degree to which child often fought with or bullied children in past 6 months
sa151	D12: Degree to which child was often unhappy/tearful in past 6 months
sa152	D13: Degree to which child was generally liked by peers in past 6 months
sa153	D14: Degree to which child was nervous/clingy in new situations in past 6 months
sa154	D15: Degree to which child was kind to younger children in past 6 months
sa155	D16: Degree to which child was bullied by other children in past 6 months
sa156	D17: Degree to which child often volunteered to help others in past 6 months
sa157	D18: Degree to which child thought things out before acting in past 6 months
sa158	D19: Degree to which child got on better with adults than peers in past 6 months
sa159	D20: Degree to which child had many fears in past 6 months
sa160	D21: Degree to which child saw tasks through to the end in past 6 months
sa161a	DV: SDQ prosocial score (complete cases)
sa161b	DV: SDQ prosocial score (prorated)
sa161c	DV: 
sa162a	DV: SDQ hyperactivity score (complete cases)
sa162b	DV: SDQ hyperactivity score (prorated)
sa162c	DV: 
sa163a	DV: SDQ emotional symptoms score (complete cases)
sa163b	DV: SDQ emotional symptoms score (prorated)
sa163c	DV: 
sa164a	DV: SDQ conduct problems score (complete cases)
sa164b	DV: SDQ conduct problems score (prorated)
sa164c	DV: 
sa165a	DV: SDQ peer problems score (complete cases)
sa165b	DV: SDQ peer problems score (prorated)
sa165c	DV: 
sa166a	DV: SDQ total difficulties score (complete cases)
sa166b	DV: SDQ total difficulties score (prorated)
sa166c	DV: 
sa170	D22: Other comment about child's behaviour in past 6 months
sa180	D23: Degree of emotional/attentional/behavioural difficulties child has
sa181	D23a: Duration of child's emotional/attentional/behavioural difficulties
sa182	D23b: Degree to which child's emotional/attentional/behavioural difficulties upset child
sa183	D23c1: Degree to which child's emotional/attentional/behavioural difficulties interfere with peer relationships
sa184	D23c2: Degree to which child's emotional/attentional/behavioural difficulties interfere with own learning
sa185	D23d: Degree to which child's emotional/attentional/behavioural difficulties burden the teacher/class
sa186a	DV: Burden of emotional/attentional/behavioural difficulties
sa186b	DV: Any burden of emotional/attentional/behavioural difficulties
sa186c	DV: 
sa195	E1: Length of time teacher has taught child
sa196a	E2: Date of completion - month
sa196b	E2: Date of completion - year
sa197a	DV: Age of child at completion in months
sa197b	DV: Age of child at completion in weeks
sa197c	Assumptions made in calculating child's age at completion
sa198a	DV: Age of child at end of school year in months
sa198b	DV: Age of child at end of school year in weeks
y4sch	Child's unique school identifier (ALSPSCID) at Year 4 data collection
y4year	School year in which Year 4 data was collected
y6sch	Child's unique school identifier (ALSPSCID) at Year 3 data collection
y6year	Academic year in which Year 6 data was collected
y6class	Child's class identifier (within school & year)
sefg003	Education region
sefg004	Type of school
se030	D1a: Child has ever been recognized as having special educational needs
se031	D1b1: Child has learning difficulties
se031a	DV: Child has ever had learning difficulties
se032	D1b2: Child has specific learning difficulties
se032a	DV: Child has ever had specific learning difficulties
se033	D1b3: Child has emotional & behavioural difficulties
se033a	DV: Child has ever had emotional & behavioural difficulties
se034	D1b4: Child has speech & language difficulties
se034a	DV: Child has ever had speech & language difficulties
se035	D1b5: Child has sensory impairment (hearing)
se035a	DV: Child has ever had sensory impairment (hearing)
se036	D1b6: Child has sensory impairment (visual)
se036a	DV: Child has ever had sensory impairment (visual)
se037	D1b7: Child has physical disabilities
se037a	DV: Child has ever had physical disabilities
se038	D1b8: Child has medical conditions
se038a	DV: Child has ever had medical conditions
se039	D1b9: Child has developmental delay
se039a	DV: Child has ever had developmental delay
se040	D1b10: Child has other SEN problem
se040a	DV: Child has ever had other SEN problem
se042a	DV: 
se042b	DV: Any current educational problems
se042c	DV: 
se043a	DV: 
se043b	DV: Any past or current educational problems
se043c	DV: 
se045	D1c: Child's special educational needs statement status
se045a	DV: Child is statemented
se045b	DV: Child has ever been considered for statementing
se047	D1d1: Child is non-SEN child or SEN child currently taught within school provision
se048	D1d2: Child is currently attending special school
se049	D1d3: Child is currently going to special classes
se050	D1d4: Child currently has a special teacher
se051	D1d5: Child is SEN child currently attending hospital school
se052	D1d6: Child is SEN child currently educated at home
se053	D1d7: Child is SEN child currently excluded from school
se054	D1d8: Child is SEN child with other current educational arrangement
se060	D2i: Child's stream for Mathematics
se061	D2ii: Child's stream for Literacy/English
se062	D5: Frequency child does required homework
se063	D6: Child's capability to work independently
se064	D7: Degree to which teacher thinks child is prepared for secondary school
se065	B1: Length of time child sticks to enjoyable tasks
se066	B2a: Degree to which child made careless mistakes in past school year
se066a	DV: Child made careless mistakes in past school year
se067	B2b: Degree to which child failed to pay attention in past school year
se067a	DV: Child failed to pay attention in past school year
se068	B2c: Degree to which child quickly lost interest in activities in past school year
se068a	DV: Child quickly lost interest in activities in past school year
se069	B2d: Degree to which child did not seem to listen in past school year
se069a	DV: Child did not seem to listen in past school year
se070	B2e: Degree to which child failed to finish things in past school year
se070a	DV: Child failed to finish things in past school year
se071	B2f: Degree to which child was disorganised in past school year
se071a	DV: Child was disorganised in past school year
se072	B2g: Degree to which child tried to avoid tasks requiring thought in past school year
se072a	DV: Child tried to avoid tasks requiring thought in past school year
se073	B2h: Degree to which child lost things in past school year
se073a	DV: Child lost things in past school year
se074	B2i: Degree to which child was easily distracted in past school year
se074a	DV: Child was easily distracted in past school year
se075	B2j: Degree to which child was forgetful in past school year
se075a	DV: Child was forgetful in past school year
se076	B2k: Degree to which child fidgeted in past school year
se076a	DV: Child fidgeted in past school year
se077	B2l: Degree to which child couldn't stay sitting when required to in past school year
se077a	DV: Child couldn't stay sitting when required to in past school year
se078	B2m: Degree to which child ran or climbed about illicitly in past school year
se078a	DV: Child ran or climbed about illicitly in past school year
se079	B2n: Degree to which child had difficulty playing quietly in past school year
se079a	DV: Child had difficulty playing quietly in past school year
se080	B2o: Degree to which child found it hard to calm down in past school year
se080a	DV: Child found it hard to calm down in past school year
se081	B2p: Degree to which child interrupted / blurted out answers in past school year
se081a	DV: Child interrupted / blurted out answers in past school year
se082	B2q: Degree to which child found it hard to wait own turn in past school year
se082a	DV: Child found it hard to wait own turn in past school year
se083	B2r: Degree to which child interrupted / butted in on others in past school year
se083a	DV: Child interrupted / butted in on others in past school year
se084	B2s: Degree to which child went on talking when asked to stop in past school year
se084a	DV: Child went on talking when asked to stop in past school year
